Index,4ES_1,4ES_2,4ES_3,4ES_4,4PF_1,4PF_2,4PF_3,4PF_4
176,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798
177,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2529.406,2509.798
178,2509.798,2509.798,2509.798,2529.406,2509.798,2529.406,2509.798,2529.406
179,2509.798,2529.406,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798
180,2529.406,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
181,2509.798,2509.798,2509.798,2529.406,2509.798,2509.798,2509.798,2509.798
182,2529.406,2529.406,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406
183,2509.798,2529.406,2509.798,2509.798,2529.406,2509.798,2509.798,2509.798
184,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798
185,2509.798,2529.406,2509.798,2509.798,2529.406,2509.798,2509.798,2529.406
186,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
187,2509.798,2529.406,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798
188,2509.798,2509.798,2509.798,2529.406,2509.798,2529.406,2509.798,2509.798
189,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2529.406,2509.798
190,2509.798,2509.798,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798
191,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
192,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798,2529.406
193,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406
194,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798
195,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798
196,2509.798,2529.406,2529.406,2509.798,2509.798,2509.798,2509.798,2529.406
197,2509.798,2529.406,2509.798,2509.798,2529.406,2529.406,2509.798,2509.798
198,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798
199,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798
200,2529.406,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
201,2509.798,2529.406,2509.798,2509.798,2529.406,2529.406,2509.798,2509.798
202,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
203,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406
204,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798,2509.798
205,2509.798,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798,2529.406
206,2509.798,2509.798,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
207,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
208,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
209,2529.406,2529.406,2529.406,2509.798,2509.798,2529.406,2509.798,2529.406
210,2509.798,2529.406,2529.406,2509.798,2509.798,2529.406,2529.406,2509.798
211,2529.406,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
212,2509.798,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798,2509.798
213,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798,2509.798,2529.406
214,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
215,2509.798,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798
216,2509.798,2529.406,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798
217,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798
218,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406,2529.406
219,2509.798,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798,2529.406
220,2529.406,2529.406,2509.798,2509.798,2529.406,2529.406,2509.798,2509.798
221,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406
222,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798
223,2509.798,2509.798,2529.406,2509.798,2529.406,2529.406,2529.406,2509.798
224,2509.798,2529.406,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798
225,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
226,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
227,2509.798,2509.798,2529.406,2509.798,2529.406,2509.798,2509.798,2529.406
228,2509.798,2509.798,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798
229,2529.406,2509.798,2509.798,2509.798,2529.406,2529.406,2509.798,2509.798
230,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798
231,2529.406,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406
232,2529.406,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406
233,2509.798,2529.406,2509.798,2509.798,2509.798,2529.406,2529.406,2529.406
234,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798
235,2509.798,2509.798,2529.406,2509.798,2509.798,2529.406,2509.798,2509.798
236,2509.798,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
237,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798
238,2529.406,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798,2529.406
239,2529.406,2509.798,2509.798,2509.798,2529.406,2509.798,2509.798,2529.406
240,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798,2529.406
241,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406
242,2509.798,2529.406,2529.406,2509.798,2509.798,2509.798,2509.798,2509.798
243,2529.406,2529.406,2509.798,2529.406,2509.798,2529.406,2509.798,2529.406
244,2509.798,2529.406,2529.406,2509.798,2529.406,2509.798,2529.406,2509.798
245,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798
246,2509.798,2529.406,2529.406,2509.798,2509.798,2529.406,2509.798,2509.798
247,2509.798,2529.406,2529.406,2509.798,2509.798,2509.798,2529.406,2509.798
248,2509.798,2529.406,2529.406,2509.798,2509.798,2529.406,2509.798,2509.798
249,2529.406,2529.406,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798
250,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
251,2529.406,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406
252,2509.798,2509.798,2529.406,2529.406,2509.798,2529.406,2509.798,2529.406
253,2509.798,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798
254,2529.406,2509.798,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
255,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798
256,2529.406,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798,2529.406
257,2509.798,2529.406,2529.406,2509.798,2509.798,2529.406,2509.798,2529.406
258,2509.798,2509.798,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
259,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798,2529.406
260,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406
261,2509.798,2529.406,2509.798,2529.406,2509.798,2509.798,2509.798,2529.406
262,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
263,2509.798,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798
264,2529.406,2509.798,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
265,2509.798,2529.406,2529.406,2509.798,2509.798,2509.798,2529.406,2509.798
266,2509.798,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
267,2509.798,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798,2509.798
268,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
269,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
270,2509.798,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798
271,2529.406,2529.406,2529.406,2509.798,2509.798,2529.406,2509.798,2529.406
272,2509.798,2529.406,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798
273,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
274,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798
275,2509.798,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798,2529.406
276,2509.798,2529.406,2529.406,2509.798,2529.406,2529.406,2529.406,2509.798
277,2509.798,2529.406,2509.798,2509.798,2529.406,2509.798,2529.406,2509.798
278,2509.798,2509.798,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
279,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
280,2529.406,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
281,2529.406,2509.798,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798
282,2509.798,2509.798,2509.798,2509.798,2529.406,2529.406,2509.798,2509.798
283,2509.798,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798
284,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798
285,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798
286,2529.406,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
287,2509.798,2529.406,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798
288,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798,2509.798
289,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798,2529.406
290,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798,2509.798
291,2529.406,2509.798,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
292,2529.406,2509.798,2529.406,2509.798,2529.406,2529.406,2509.798,2529.406
293,2509.798,2509.798,2529.406,2509.798,2529.406,2509.798,2509.798,2509.798
294,2509.798,2509.798,2529.406,2509.798,2529.406,2509.798,2529.406,2509.798
295,2509.798,2529.406,2529.406,2509.798,2509.798,2529.406,2509.798,2509.798
296,2509.798,2529.406,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798
297,2529.406,2509.798,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798
298,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
299,2509.798,2509.798,2529.406,2529.406,2529.406,2509.798,2509.798,2509.798
300,2509.798,2509.798,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798
301,2529.406,2529.406,2509.798,2509.798,2509.798,2529.406,2509.798,2509.798
302,2529.406,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
303,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
304,2509.798,2529.406,2529.406,2509.798,2509.798,2529.406,2509.798,2509.798
305,2509.798,2529.406,2529.406,2509.798,2509.798,2509.798,2509.798,2509.798
306,2509.798,2529.406,2509.798,2529.406,2509.798,2529.406,2529.406,2529.406
307,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
308,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
309,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406
310,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798,2529.406
311,2509.798,2529.406,2509.798,2529.406,2529.406,2509.798,2509.798,2509.798
312,2509.798,2509.798,2529.406,2509.798,2529.406,2509.798,2509.798,2509.798
313,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
314,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406
315,2509.798,2509.798,2529.406,2509.798,2509.798,2529.406,2529.406,2529.406
316,2509.798,2529.406,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406
317,2529.406,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
318,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
319,2529.406,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2529.406
320,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798,2509.798
321,2509.798,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798,2509.798
322,2509.798,2509.798,2529.406,2509.798,2509.798,2529.406,2509.798,2509.798
323,2509.798,2509.798,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
324,2509.798,2529.406,2529.406,2529.406,2529.406,2529.406,2509.798,2509.798
325,2509.798,2529.406,2529.406,2509.798,2529.406,2529.406,2529.406,2529.406
326,2509.798,2529.406,2529.406,2529.406,2509.798,2529.406,2509.798,2509.798
327,2529.406,2509.798,2529.406,2509.798,2529.406,2529.406,2529.406,2529.406
