Index,Time,4ES_1,Time,4ES_2,Time,4ES_3,Time,4ES_4,Time,4PF_1,Time,4PF_2,Time,4PF_3,Time,4PF_4
43,140.364,2509.798,140.364,2529.406,140.364,2509.798,140.364,2529.406,140.364,2529.406,140.364,2529.406,140.364,2529.406,140.364,2509.798
44,140.382,2529.406,140.382,2509.798,140.382,2509.798,140.382,2529.406,140.382,2529.406,140.382,2529.406,140.382,2509.798,140.382,2509.798
45,140.4,2509.798,140.4,2509.798,140.4,2529.406,140.4,2529.406,140.4,2529.406,140.4,2529.406,140.4,2509.798,140.4,2509.798
46,140.419,2529.406,140.419,2509.798,140.419,2529.406,140.419,2529.406,140.419,2529.406,140.419,2509.798,140.419,2509.798,140.419,2529.406
47,140.437,2509.798,140.437,2509.798,140.437,2529.406,140.437,2529.406,140.437,2529.406,140.437,2509.798,140.437,2529.406,140.437,2509.798
48,140.456,2509.798,140.456,2509.798,140.456,2529.406,140.456,2509.798,140.456,2529.406,140.456,2529.406,140.456,2509.798,140.456,2529.406
49,140.474,2529.406,140.474,2509.798,140.474,2509.798,140.474,2529.406,140.474,2529.406,140.474,2529.406,140.474,2529.406,140.474,2509.798
50,140.493,2509.798,140.493,2509.798,140.493,2529.406,140.493,2529.406,140.493,2529.406,140.493,2509.798,140.493,2509.798,140.493,2509.798
51,140.511,2509.798,140.511,2509.798,140.511,2529.406,140.511,2509.798,140.511,2529.406,140.511,2509.798,140.511,2509.798,140.511,2509.798
52,140.529,2509.798,140.529,2509.798,140.529,2529.406,140.529,2509.798,140.529,2509.798,140.529,2529.406,140.529,2529.406,140.529,2509.798
53,140.548,2509.798,140.548,2509.798,140.548,2509.798,140.548,2509.798,140.548,2529.406,140.548,2529.406,140.548,2509.798,140.548,2509.798
54,140.566,2509.798,140.566,2529.406,140.566,2509.798,140.566,2509.798,140.566,2529.406,140.566,2529.406,140.566,2509.798,140.566,2509.798
55,140.585,2509.798,140.585,2529.406,140.585,2529.406,140.585,2529.406,140.585,2529.406,140.585,2529.406,140.585,2509.798,140.585,2509.798
56,140.603,2529.406,140.603,2529.406,140.603,2529.406,140.603,2529.406,140.603,2509.798,140.603,2529.406,140.603,2529.406,140.603,2509.798
57,140.622,2529.406,140.622,2529.406,140.622,2509.798,140.622,2509.798,140.622,2509.798,140.622,2529.406,140.622,2509.798,140.622,2509.798
58,140.64,2509.798,140.64,2509.798,140.64,2529.406,140.64,2509.798,140.64,2529.406,140.64,2529.406,140.64,2529.406,140.64,2509.798
