Index,Time,4ES_1,4PF_1
199,3.668,2509.798,2529.406
200,3.686,2529.406,2529.406
201,3.705,2509.798,2529.406
202,3.723,2509.798,2529.406
203,3.742,2509.798,2529.406
204,3.76,2509.798,2509.798
205,3.779,2509.798,2529.406
206,3.797,2509.798,2529.406
207,3.815,2509.798,2529.406
208,3.834,2509.798,2529.406
209,3.852,2529.406,2509.798
210,3.871,2509.798,2509.798
211,3.889,2529.406,2529.406
212,3.908,2509.798,2529.406
213,3.926,2529.406,2509.798
214,3.944,2509.798,2529.406
215,3.963,2509.798,2529.406
216,3.981,2509.798,2529.406
217,4.0,2509.798,2529.406
218,4.018,2529.406,2529.406
219,4.037,2509.798,2529.406
220,4.055,2529.406,2529.406
221,4.073,2509.798,2529.406
222,4.092,2509.798,2529.406
223,4.11,2509.798,2529.406
224,4.129,2509.798,2529.406
225,4.147,2509.798,2529.406
226,4.166,2509.798,2529.406
227,4.184,2509.798,2529.406
228,4.202,2509.798,2509.798
229,4.221,2529.406,2529.406
230,4.239,2509.798,2529.406
231,4.258,2529.406,2529.406
232,4.276,2529.406,2529.406
233,4.295,2509.798,2509.798
234,4.313,2509.798,2529.406
235,4.332,2509.798,2509.798
236,4.35,2509.798,2529.406
237,4.368,2509.798,2509.798
238,4.387,2529.406,2529.406
239,4.405,2529.406,2529.406
240,4.424,2529.406,2529.406
241,4.442,2509.798,2529.406
242,4.461,2509.798,2509.798
243,4.479,2529.406,2509.798
244,4.497,2509.798,2529.406
245,4.516,2509.798,2529.406
246,4.534,2509.798,2509.798
247,4.553,2509.798,2509.798
248,4.571,2509.798,2509.798
249,4.59,2529.406,2529.406
250,4.608,2509.798,2529.406
251,4.626,2529.406,2529.406
252,4.645,2509.798,2509.798
253,4.663,2509.798,2529.406
254,4.682,2529.406,2529.406
255,4.7,2509.798,2529.406
256,4.719,2529.406,2529.406
257,4.737,2509.798,2509.798
258,4.755,2509.798,2529.406
259,4.774,2509.798,2529.406
260,4.792,2509.798,2529.406
261,4.811,2509.798,2509.798
262,4.829,2509.798,2529.406
263,4.848,2509.798,2529.406
264,4.866,2529.406,2529.406
265,4.884,2509.798,2509.798
266,4.903,2509.798,2529.406
267,4.921,2509.798,2529.406
268,4.94,2509.798,2529.406
269,4.958,2509.798,2529.406
270,4.977,2509.798,2529.406
271,4.995,2529.406,2509.798
272,5.014,2509.798,2529.406
273,5.032,2509.798,2529.406
274,5.05,2509.798,2529.406
275,5.069,2509.798,2529.406
276,5.087,2509.798,2529.406
277,5.106,2509.798,2529.406
278,5.124,2509.798,2529.406
279,5.143,2509.798,2529.406
280,5.161,2529.406,2529.406
281,5.179,2529.406,2509.798
282,5.198,2509.798,2529.406
283,5.216,2509.798,2529.406
284,5.235,2509.798,2529.406
285,5.253,2509.798,2529.406
286,5.272,2529.406,2529.406
287,5.29,2509.798,2529.406
288,5.308,2509.798,2509.798
289,5.327,2509.798,2529.406
290,5.345,2509.798,2509.798
291,5.364,2529.406,2529.406
292,5.382,2529.406,2529.406
293,5.401,2509.798,2529.406
294,5.419,2509.798,2529.406
295,5.437,2509.798,2509.798
296,5.456,2509.798,2529.406
297,5.474,2529.406,2509.798
298,5.493,2509.798,2529.406
299,5.511,2509.798,2529.406
300,5.53,2509.798,2509.798
301,5.548,2529.406,2509.798
302,5.566,2529.406,2529.406
303,5.585,2509.798,2529.406
304,5.603,2509.798,2509.798
305,5.622,2509.798,2509.798
306,5.64,2509.798,2509.798
307,5.659,2509.798,2529.406
308,5.677,2509.798,2529.406
309,5.695,2509.798,2529.406
310,5.714,2529.406,2509.798
311,5.732,2509.798,2529.406
312,5.751,2509.798,2529.406
313,5.769,2509.798,2529.406
314,5.788,2509.798,2529.406
315,5.806,2509.798,2509.798
316,5.825,2509.798,2529.406
317,5.843,2529.406,2529.406
318,5.861,2509.798,2529.406
319,5.88,2529.406,2529.406
320,5.898,2529.406,2529.406
321,5.917,2509.798,2529.406
322,5.935,2509.798,2509.798
323,5.954,2509.798,2529.406
324,5.972,2509.798,2529.406
325,5.99,2509.798,2529.406
326,6.009,2509.798,2509.798
327,6.027,2529.406,2529.406
328,6.046,2509.798,2529.406
329,6.064,2509.798,2509.798
330,6.083,2509.798,2509.798
331,6.101,2529.406,2509.798
332,6.119,2509.798,2529.406
333,6.138,2509.798,2529.406
334,6.156,2509.798,2529.406
335,6.175,2509.798,2529.406
336,6.193,2509.798,2509.798
337,6.212,2509.798,2529.406
338,6.23,2509.798,2529.406
